MSA_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
28100,2310,1100,360,350,260,910,110,2870,370,3990,1990,1250,3670,920,770,4110,5810,170,1030,2090,3520,3260,0
28140,55310,64700,44310,18420,7450,13030,8780,55110,14350,66300,25160,22630,91050,27520,32390,106520,178710,1020,38580,40760,62670,68520,0
28420,5150,4730,1920,5070,2430,1200,290,7070,1010,5430,2380,2590,9420,3130,3260,10190,14940,2610,6690,4300,5060,8410,0
28660,4360,6150,2160,1470,590,2030,570,11580,1310,12620,5000,5020,13950,4260,4550,14920,20900,100,4860,6450,5740,8390,0
28700,5150,3420,1370,2800,870,1320,650,6260,810,9440,3860,2690,11730,3210,2440,12580,18160,140,4900,6100,12440,8170,0
28740,2260,1570,600,410,270,1420,350,5660,560,3580,2060,2630,5940,2190,2620,6610,9810,50,2390,2190,2390,3150,0
28940,21710,15080,7390,8110,3030,4380,1990,19340,3660,26540,10090,8420,35600,14000,10350,40170,63690,-1,13220,17290,27160,30470,0
29020,1350,830,420,1060,170,440,150,2370,340,2300,1140,450,4370,840,1220,4100,3930,0,970,1780,590,1320,0
29100,2660,2530,1240,700,620,1450,290,4430,880,6790,2450,940,7330,2150,2980,7880,11060,0,2180,2960,5510,5440,0
29180,8270,5780,1630,3410,1230,2320,1510,9030,1570,12680,5540,3580,19430,5460,8160,25280,29880,300,12910,12830,15970,17320,0
29200,3590,2520,1340,1230,710,1090,240,10400,700,5090,2130,1390,9610,3180,1920,8160,11000,220,2840,3730,14310,5290,0
29340,3590,2250,430,2150,820,870,460,5260,390,6190,3000,3260,10250,3340,4180,10400,12900,40,10560,6560,8260,7330,0
29404,33760,23590,14640,7190,3470,3940,1640,25530,4250,20620,8320,5080,32500,15430,12140,42670,57840,180,10540,13320,30580,33420,0
