IND_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
522200,43300,179600,36800,200,400,0,3600,0,1100,0,0,600,100,500,0,64900,278200,0,100,1100,300,700,0
522290,29700,132400,18000,0,100,0,2300,0,600,0,0,400,100,400,0,48200,192000,0,100,700,300,400,0
522300,19400,66200,30200,100,0,0,1100,0,800,0,0,500,0,200,0,25500,156600,0,100,800,200,100,0
"523,50",89000,326600,61800,700,600,100,7800,0,3300,200,0,500,100,1500,700,13400,251000,100,100,1500,0,1000,0
523000,87900,323100,61500,700,600,100,7500,0,3300,300,0,500,100,1500,500,180400,247500,0,100,1500,0,900,0
523100,36600,126200,29500,0,400,0,2200,0,1100,0,0,200,0,300,0,132500,118100,0,0,300,0,0,0
523200,1000,1400,800,0,0,0,100,0,0,0,0,0,0,0,0,800,600,0,0,0,0,0,0
523900,50300,195600,31200,600,200,100,5300,0,2200,300,0,100,100,1100,500,47100,128900,0,0,1200,0,700,0
524000,198400,596300,210800,2700,1400,8500,39600,300,10600,51200,1200,2500,500,3200,300,447300,1001200,0,400,4300,1500,700,0
524100,133500,416000,172200,1800,1200,6800,35300,300,8000,38800,800,1800,500,1400,200,132000,529300,0,300,3200,1100,600,0
524114,43400,96900,62200,0,900,5800,2100,0,3500,30500,600,500,0,300,100,27200,188100,0,0,900,200,200,0
524120,45200,222900,59400,1600,0,300,29200,100,2300,2200,0,1000,200,800,100,56200,223900,0,200,1700,500,200,0
524200,64900,180300,38600,800,200,1800,4300,0,2600,12500,400,700,0,1800,100,315300,471900,0,200,1100,0,100,0
524210,38400,79500,15800,700,0,100,1700,0,1600,2300,0,0,0,1600,0,297400,336800,0,0,800,0,100,0
524290,26500,100800,22900,200,200,1600,2700,0,1000,10200,400,700,0,200,100,17900,135100,0,200,300,0,100,0
525000,1100,3400,300,0,0,0,300,0,0,0,0,0,0,100,200,200,3500,0,0,100,0,0,0
525100,500,1600,200,0,0,0,0,0,0,100,0,0,0,0,0,200,2000,0,0,0,0,0,0
525900,600,1800,100,0,0,0,100,0,0,0,0,0,0,100,200,100,1500,0,0,100,0,0,0
530000,248900,119900,15900,2800,300,1700,8200,600,19200,5500,1000,30300,17800,143700,22700,478400,457100,800,26600,390100,11800,139500,0
531000,214800,101900,10700,2200,300,1700,7600,300,4000,200,0,29600,16200,140700,20500,289800,366600,700,18500,316800,3600,12100,0
531100,74800,20900,1900,700,200,1000,1100,300,1100,200,0,17300,13000,70200,10700,103800,100200,600,9100,149900,1000,7800,0
531200,27700,19700,3600,100,0,0,1100,0,1500,0,0,0,0,9300,500,97800,120300,0,1100,19400,300,800,0
531300,112300,61300,5200,1400,100,700,5400,0,1400,0,0,11800,3200,61200,9300,88100,146100,0,8300,147500,2200,3500,0
532000,30200,12500,3600,400,0,100,200,300,14300,5000,800,700,1100,2900,2200,184800,84300,0,8000,73200,8100,127400,0
532100,9200,5500,1700,100,0,0,100,0,0,0,0,200,0,1600,0,77600,29000,0,0,26500,700,54100,0
5322-3,10300,2000,600,0,0,100,0,0,4200,4400,600,100,1000,900,2200,78500,36200,0,1000,14800,4500,46700,0
532200,8200,1700,600,0,0,100,0,0,3000,4400,600,100,900,600,2200,66100,31400,0,300,8400,4100,36100,0
532300,2100,300,100,0,0,0,0,0,1100,0,0,0,100,300,0,12400,4800,0,700,6400,400,10600,0
532400,10700,5000,1200,300,0,0,100,100,10100,500,200,100,100,400,0,28600,19100,0,7000,31800,2900,26500,0
533000,4000,5500,1600,100,0,0,400,0,900,0,0,0,500,100,0,3900,6200,0,0,200,0,0,0
540000,789700,1363600,1517800,930300,334800,9800,649600,14800,349000,214000,80400,17400,7800,29600,35600,426300,1747900,5800,73600,77200,129900,71700,0
541000,789700,1363600,1517800,930300,334800,9800,649600,14800,349000,214000,80400,17400,7800,29600,35600,426300,1747900,5800,73600,77200,129900,71700,0
541100,25300,27200,15700,400,300,1400,629400,1900,2300,700,0,1400,200,3500,100,4400,405600,0,0,1000,0,200,0
541200,67600,472600,29100,400,100,400,1100,300,10100,7100,1800,2000,4200,3300,700,17700,352200,200,1500,2400,2500,8600,0
541300,124100,83900,75400,705100,74600,0,1400,800,24800,2400,300,1700,100,8900,0,19000,152100,900,50100,21500,52200,11600,0
541330,89500,63300,66000,485200,28500,0,1000,700,9900,1100,0,1500,0,1600,0,12400,94400,100,32700,16700,28300,7400,0
541380,12500,8100,5100,36300,40500,0,100,0,2000,1100,300,100,0,400,0,4200,20300,300,3100,3500,22700,3400,0
541400,9000,7000,4200,6600,100,0,0,100,64300,0,0,0,0,400,0,10000,22700,0,1200,1800,9000,3100,0
541500,218900,195400,1125700,57700,2000,400,4900,2600,36000,3000,100,2400,300,1400,100,124400,190000,0,700,17000,4400,3400,0
541600,170400,404000,140200,51200,66900,3700,5800,3600,33500,23000,1700,4500,1900,4200,1300,94000,289000,2400,9500,15900,15200,30500,0
541700,90100,66800,85200,103700,176600,3100,3700,4800,9300,19900,4800,3100,700,3200,1400,10400,66600,1200,2300,8600,14100,2400,0
541710,84300,60800,79600,103200,153200,1500,3600,2900,7300,19400,4700,3000,700,3000,1300,9600,55500,1200,2300,8400,14000,2400,0
541720,5700,6000,5600,500,23400,1600,100,2000,2000,500,100,100,100,200,100,900,11100,0,0,200,0,0,0
541800,55400,51900,22100,200,300,100,600,0,114800,0,0,0,100,800,300,121000,88700,0,3500,4300,17500,8100,0
541900,28900,54900,20100,5000,14000,800,2700,700,53900,158100,71700,2400,200,3900,31700,25300,181100,1200,4700,4700,14900,3800,0
541920,1900,600,400,0,0,0,0,0,30100,0,0,0,0,100,200,6100,10700,0,100,200,4100,400,0
541940,3800,1400,300,0,0,0,0,0,0,156300,71200,0,0,2800,31000,200,90800,0,0,700,0,0,0
550000,437400,499400,251600,62900,17000,19500,25400,6000,37600,34500,6600,9600,12100,10600,10200,102900,573700,400,9300,40600,23300,49900,0
551000,437400,499400,251600,62900,17000,19500,25400,6000,37600,34500,6600,9600,12100,10600,10200,102900,573700,400,9300,40600,23300,49900,0
560000,272200,362900,215800,76600,29800,18500,26700,77200,48800,148400,98500,791500,91100,1883400,92400,510100,1881800,14100,226900,237400,818900,1095400,0
561000,252200,354600,214200,69100,25600,18500,26600,77200,48500,146100,98500,790900,91100,1879700,92300,500100,1834700,13900,147600,215900,804800,911600,0
561100,65099,78700,33000,3200,400,800,2900,300,4100,14300,4100,1200,500,3700,0,19500,234500,100,500,6700,2100,10700,0
561200,4900,3800,1300,1500,200,2400,100,700,200,2300,200,31800,5900,37500,400,1100,15300,0,3500,15200,3700,7100,0
561300,59900,176700,130900,53400,22200,12800,14500,74900,26000,120400,80900,21700,77100,86400,74100,109500,682800,9300,114400,70600,748600,799600,0
561320,33100,105600,107900,46700,20500,8300,10400,69000,21300,93200,65300,17100,49700,67000,46600,73100,536300,8100,85400,54000,685800,711900,0
561400,31800,39200,30000,1100,0,0,8300,0,5600,6000,13200,1300,100,1300,0,197500,553100,0,0,3600,6900,10100,0
561420,10900,20400,18500,700,0,0,200,0,700,1700,0,300,0,400,100,153100,320100,0,0,1000,200,1400,0
561500,14800,13100,8800,0,0,0,200,200,3000,0,0,100,1100,900,9000,87200,73400,0,0,1000,100,3400,0
561510,7100,4400,3900,0,0,0,100,0,300,0,0,0,0,100,0,57700,16300,0,0,100,0,200,0
561600,15900,11000,4100,1500,100,0,100,0,300,600,0,703900,0,0,2300,22300,66300,0,1400,63300,800,4300,0
561610,8900,4000,1100,0,100,0,100,0,100,600,0,697800,0,0,2300,4700,29500,0,0,1600,100,3700,0
561620,7000,3100,3000,1500,0,0,100,0,200,0,0,6100,0,200,0,17600,36800,0,1400,61800,800,600,0
561700,44000,9800,700,3900,400,0,0,0,100,200,0,100,600,1747300,0,37500,112000,4200,20200,43300,14600,30600,0
561710,5300,700,100,0,0,0,0,0,0,0,0,0,0,77800,0,8200,20300,0,1300,400,0,100,0
561730,18000,4700,300,3200,300,0,0,0,100,100,0,0,200,628900,0,16700,47100,4200,10200,9600,100,13100,0
561900,15800,22200,5500,1100,200,0,500,300,9200,2200,0,30300,2200,1900,3600,25500,97200,200,7500,9900,28100,45800,0
562000,20000,8300,1600,7500,4200,0,100,0,300,2200,0,600,0,3700,0,10000,47100,0,79300,21500,14200,183800,0
562100,6200,1700,200,300,100,0,0,0,0,100,0,100,0,600,0,4300,20300,0,4100,10800,3000,117900,0
562200,5700,3000,1000,3600,2300,0,100,0,100,1500,0,300,0,600,0,2200,10600,0,11400,7100,8300,37600,0
562900,8100,3600,300,3700,1800,0,0,0,100,600,0,300,0,2600,0,3500,16100,0,63900,3600,2800,28300,0
610000,704800,349100,255400,28100,219600,338400,6300,8033800,291500,303200,46200,169600,432500,512500,226700,47200,1427200,4400,45900,169600,19400,260000,0
611000,704800,349100,255400,28100,219600,338400,6300,8033800,291500,303200,46200,169600,432500,512500,226700,47200,1427200,4400,45900,169600,19400,260000,0
611100,322600,61200,68400,700,44700,196900,900,5603700,89800,151500,17800,93500,378900,357800,147100,5800,540600,100,14900,84900,4600,229900,0
611102,2900,900,500,0,600,2900,0,48600,800,1400,700,800,2200,4100,2800,0,4900,0,200,600,300,600,0
611103,254200,43200,57800,600,39900,165200,700,4897000,68500,135400,15100,85500,358200,325800,112400,4700,455000,0,14100,72000,3900,220300,0
611105,65500,17000,10100,0,4100,28800,0,658100,20500,14600,2000,7200,18500,27900,31900,1100,80700,100,600,12300,300,8900,0
6112-3,324800,240400,169400,26300,170900,122100,5100,2052400,133800,145500,27400,67300,49600,147800,53800,23900,772200,2800,29800,78100,13300,21600,0
